SampNo.	SampSec	Day	Hour	Minute	Second
5.0058e+06	625.73	21	19	20	3
5.0139e+06	626.74	21	19	20	4
5.022e+06	627.75	21	19	20	5
5.0301e+06	628.76	21	19	20	6
5.0382e+06	629.77	21	19	20	7
5.0463e+06	630.79	21	19	20	8
5.0544e+06	631.8	21	19	20	9
5.0625e+06	632.81	21	19	20	10
5.0706e+06	633.82	21	19	20	11
5.0787e+06	634.83	21	19	20	12
5.0868e+06	635.85	21	19	20	13
5.0949e+06	636.86	21	19	20	14
5.1029e+06	637.87	21	19	20	15
5.111e+06	638.88	21	19	20	16
5.1191e+06	639.89	21	19	20	17
5.1272e+06	640.9	21	19	20	18
5.1353e+06	641.91	21	19	20	19
5.1434e+06	642.92	21	19	20	20
5.1515e+06	643.94	21	19	20	21
5.1596e+06	644.95	21	19	20	22
5.1677e+06	645.96	21	19	20	23
5.1758e+06	646.97	21	19	20	24
5.1839e+06	647.98	21	19	20	25
5.192e+06	648.99	21	19	20	26
5.2e+06	650.01	21	22	40	27
5.2081e+06	651.02	21	19	20	28
5.2162e+06	652.03	21	19	20	29
5.2243e+06	653.04	21	19	20	30
5.2324e+06	654.05	21	19	20	31
5.2405e+06	655.06	21	19	20	32
5.2486e+06	656.07	21	19	20	33
5.2567e+06	657.08	21	19	20	34
5.2648e+06	658.09	21	19	20	35
5.2729e+06	659.11	21	19	20	36
5.2809e+06	660.12	21	19	20	37
5.289e+06	661.13	21	19	20	38
5.2971e+06	662.14	21	19	20	39
5.3052e+06	663.15	21	19	20	40
5.3133e+06	664.16	21	19	20	41
5.3214e+06	665.18	21	19	20	42
5.3295e+06	666.19	21	19	20	43
5.3376e+06	667.2	21	19	20	44
5.3457e+06	668.21	21	19	20	45
5.3538e+06	669.22	21	19	20	46
5.3619e+06	670.24	21	19	20	47
5.37e+06	671.25	21	22	20	48
5.3781e+06	672.26	21	19	20	49
5.3862e+06	673.27	21	19	20	50
5.3943e+06	674.28	21	19	20	51
5.4023e+06	675.29	21	19	20	52
5.4104e+06	676.3	21	19	20	53
5.4185e+06	677.32	21	19	20	54
5.4266e+06	678.33	21	19	20	55
5.4347e+06	679.34	21	19	20	56
5.4428e+06	680.35	21	19	20	57
5.4509e+06	681.36	21	19	20	58
5.459e+06	682.37	21	19	20	59
5.4671e+06	683.39	21	19	21	0
5.4752e+06	684.4	21	19	21	1
5.4833e+06	685.41	21	19	21	2
5.4914e+06	686.42	21	19	21	3
5.4994e+06	687.43	21	19	21	4
5.5075e+06	688.44	21	19	21	5
5.5156e+06	689.45	21	19	21	6
5.5237e+06	690.47	21	19	21	7
5.5318e+06	691.48	21	19	21	8
5.5399e+06	692.49	21	19	21	9
5.548e+06	693.5	21	19	21	10
5.5561e+06	694.51	21	19	21	11
5.5642e+06	695.52	21	19	21	12
5.5723e+06	696.53	21	19	21	13
5.5804e+06	697.54	21	19	21	14
5.5885e+06	698.56	21	19	21	15
5.5966e+06	699.57	21	19	21	16
5.6046e+06	700.58	21	19	21	17
5.6127e+06	701.59	21	19	21	18
5.6208e+06	702.6	21	19	21	19
5.6289e+06	703.62	21	19	21	20
5.637e+06	704.63	21	19	21	21
5.6451e+06	705.64	21	19	21	22
5.6532e+06	706.65	21	19	21	23
5.6613e+06	707.66	21	19	21	24
5.6694e+06	708.67	21	19	21	25
5.6775e+06	709.68	21	19	21	26
5.6856e+06	710.7	21	19	21	27
5.6936e+06	711.71	21	19	21	28
5.7018e+06	712.72	21	19	21	29
5.7098e+06	713.73	21	19	21	30
5.7179e+06	714.74	21	19	21	31
5.726e+06	715.75	21	19	21	32
5.7341e+06	716.77	21	19	21	33
5.7422e+06	717.78	21	19	21	34
5.7503e+06	718.79	21	19	21	35
5.7584e+06	719.8	21	19	21	36
5.7665e+06	720.81	21	19	21	37
5.7746e+06	721.83	21	19	21	38
5.7827e+06	722.84	21	19	21	39
5.7908e+06	723.85	21	19	21	40
5.7989e+06	724.86	21	19	21	41
5.807e+06	725.87	21	19	21	42
5.8151e+06	726.88	21	19	21	43
5.8232e+06	727.9	21	19	21	44
5.8313e+06	728.91	21	19	21	45
5.8394e+06	729.92	21	19	21	46
5.8475e+06	730.93	21	19	21	47
5.8555e+06	731.94	21	19	21	48
5.8636e+06	732.96	21	19	21	49
5.8717e+06	733.97	21	19	21	50
5.8798e+06	734.98	21	19	21	51
5.8879e+06	735.99	21	19	21	52
5.896e+06	737	21	19	21	53
5.9041e+06	738.01	21	19	21	54
5.9122e+06	739.03	21	19	21	55
5.9203e+06	740.04	21	19	21	56
5.9284e+06	741.05	21	19	21	57
5.9365e+06	742.07	21	19	21	58
5.9446e+06	743.08	21	19	21	59
5.9527e+06	744.09	21	19	22	0
5.9608e+06	745.1	21	19	22	1
5.9689e+06	746.11	21	19	22	2
5.977e+06	747.12	21	19	22	3
5.9851e+06	748.14	21	19	22	4
5.9932e+06	749.15	21	19	22	5
6.0013e+06	750.16	21	19	22	6
6.0094e+06	751.17	21	19	22	7
6.0175e+06	752.18	21	19	22	8
6.0256e+06	753.2	21	19	22	9
6.0337e+06	754.21	21	19	22	10
6.0418e+06	755.22	21	19	22	11
6.0499e+06	756.23	21	19	22	12
6.058e+06	757.25	21	19	22	13
6.066e+06	758.26	21	19	22	14
6.0741e+06	759.27	21	19	22	15
6.0822e+06	760.28	21	19	22	16
6.0903e+06	761.29	21	19	22	17
